Path;SteerAngle;Throttle;Brake;Speed;X_Position;Y_Position;Pitch;Yaw;Roll
../dataset/IMG/robocam_2017_08_24_15_00_40_910.jpg;0;0.3999571;0;0.4567278;113.4756;8.206181;0.5068856;88.49485;0.0337759
../dataset/IMG/robocam_2017_08_24_15_00_40_960.jpg;0;0.549951;0;0.4558323;113.4763;8.232776;0.4370298;88.35065;0.03597308
../dataset/IMG/robocam_2017_08_24_15_00_41_010.jpg;0;0.6999121;0;0.4847693;113.4769;8.252172;0.4249823;88.38448;0.03505584
../dataset/IMG/robocam_2017_08_24_15_00_41_060.jpg;0;0.8498161;0;0.5416489;113.4778;8.284935;0.4821974;88.45786;0.03381475
../dataset/IMG/robocam_2017_08_24_15_00_41_110.jpg;0;1;0;0.5662031;113.4784;8.309002;0.5619918;88.46606;0.03331736
../dataset/IMG/robocam_2017_08_24_15_00_41_160.jpg;0;1;0;0.600167;113.4798;8.348222;0.7184824;88.45395;0.01077427
../dataset/IMG/robocam_2017_08_24_15_00_41_209.jpg;0;1;0;0.6478882;113.4806;8.376739;0.8519914;88.47255;-0.001434205
../dataset/IMG/robocam_2017_08_24_15_00_41_260.jpg;0;1;0;0.6912147;113.4816;8.421659;1.057131;88.56155;-0.001715829
../dataset/IMG/robocam_2017_08_24_15_00_41_310.jpg;0;0.850192;0;0.7055031;113.4824;8.452649;1.187353;88.61796;-0.001099776
../dataset/IMG/robocam_2017_08_24_15_00_41_360.jpg;0;0.700195;0;0.7527505;113.4837;8.49979;1.309468;88.69469;-0.003003192
../dataset/IMG/robocam_2017_08_24_15_00_41_410.jpg;0;0.5514579;0;0.773924;113.4847;8.530442;1.273728;88.74193;-0.002614705
../dataset/IMG/robocam_2017_08_24_15_00_41_460.jpg;0;0.4001109;0;0.7926264;113.4859;8.576411;1.149281;88.84579;-0.0003188394
../dataset/IMG/robocam_2017_08_24_15_00_41_510.jpg;0;0.2502099;0;0.827544;113.4867;8.608367;1.084649;88.84051;-3.309967E-05
../dataset/IMG/robocam_2017_08_24_15_00_41_560.jpg;0;0.100192;0;0.835241;113.4879;8.656677;0.9848389;88.77396;0.001702783
../dataset/IMG/robocam_2017_08_24_15_00_41_610.jpg;1.499087;0;0;0.827772;113.4884;8.688279;0.8993345;88.80934;0.008282668
../dataset/IMG/robocam_2017_08_24_15_00_41_659.jpg;3.749986;0;0;0.8250758;113.4884;8.735338;0.7587608;88.9631;0.03444783
../dataset/IMG/robocam_2017_08_24_15_00_41_710.jpg;6.0003;0;0;0.8228919;113.4878;8.76648;0.6581039;89.1601;0.06547936
../dataset/IMG/robocam_2017_08_24_15_00_41_760.jpg;3.743551;0;0;0.8202393;113.4869;8.812954;0.5008999;89.42841;0.1067537
../dataset/IMG/robocam_2017_08_24_15_00_41_810.jpg;1.502549;0;0;0.8187807;113.4867;8.843834;0.3946585;89.51659;0.122034
../dataset/IMG/robocam_2017_08_24_15_00_41_859.jpg;0;0;0;0.8162473;113.487;8.890044;0.2364009;89.54562;0.1309142
../dataset/IMG/robocam_2017_08_24_15_00_41_910.jpg;0;0.1488989;0;0.8034164;113.4873;8.920514;0.1268164;89.57356;0.1334286
../dataset/IMG/robocam_2017_08_24_15_00_41_960.jpg;0;0.300168;0;0.8228741;113.4877;8.967509;-0.001009876;89.49128;0.1347935
../dataset/IMG/robocam_2017_08_24_15_00_42_009.jpg;0;0.450003;0;0.8316357;113.488;8.999964;359.9438;89.47592;0.1333753
../dataset/IMG/robocam_2017_08_24_15_00_42_059.jpg;0;0.5991;0;0.8579901;113.4884;9.051187;359.923;89.5024;0.1287864
../dataset/IMG/robocam_2017_08_24_15_00_42_109.jpg;0;0.749961;0;0.8771285;113.4887;9.086626;359.9387;89.43992;0.1248181
